Type,Volume,Energy,Periodic Boundary Conditions,a_x,a_y,a_z,b_x,b_y,b_z,c_x,c_y,c_z,Model,v0,e0,Bulk_Modulus_GPa
Raw,10.5,-6.597945213317871,[ True  True  True],0.0,1.7380133224432248,1.7380133224432248,1.7380133224432248,0.0,1.7380133224432248,1.7380133224432248,1.7380133224432248,0.0,,,,
Raw,11.0,-7.528043746948242,[ True  True  True],0.0,1.7651741676630315,1.7651741676630315,1.7651741676630315,0.0,1.7651741676630315,1.7651741676630315,1.7651741676630315,0.0,,,,
Raw,11.5,-8.334494590759277,[ True  True  True],0.0,1.791523935507973,1.791523935507973,1.791523935507973,0.0,1.791523935507973,1.791523935507973,1.791523935507973,0.0,,,,
Raw,12.0,-9.021001815795898,[ True  True  True],0.0,1.8171205928321394,1.8171205928321394,1.8171205928321394,0.0,1.8171205928321394,1.8171205928321394,1.8171205928321394,0.0,,,,
Raw,12.5,-9.59377670288086,[ True  True  True],0.0,1.8420157493201932,1.8420157493201932,1.8420157493201932,0.0,1.8420157493201932,1.8420157493201932,1.8420157493201932,0.0,,,,
Raw,13.0,-10.065309524536133,[ True  True  True],0.0,1.8662555784086239,1.8662555784086239,1.8662555784086239,0.0,1.8662555784086239,1.8662555784086239,1.8662555784086239,0.0,,,,
Raw,13.5,-10.451902389526367,[ True  True  True],0.0,1.8898815748423097,1.8898815748423097,1.8898815748423097,0.0,1.8898815748423097,1.8898815748423097,1.8898815748423097,0.0,,,,
Raw,14.0,-10.774260520935059,[ True  True  True],0.0,1.912931182772389,1.912931182772389,1.912931182772389,0.0,1.912931182772389,1.912931182772389,1.912931182772389,0.0,,,,
Raw,14.5,-11.045419692993164,[ True  True  True],0.0,1.9354383203138983,1.9354383203138983,1.9354383203138983,0.0,1.9354383203138983,1.9354383203138983,1.9354383203138983,0.0,,,,
Raw,15.0,-11.272170066833496,[ True  True  True],0.0,1.9574338205844317,1.9574338205844317,1.9574338205844317,0.0,1.9574338205844317,1.9574338205844317,1.9574338205844317,0.0,,,,
Raw,15.5,-11.457657814025879,[ True  True  True],0.0,1.9789458048402027,1.9789458048402027,1.9789458048402027,0.0,1.9789458048402027,1.9789458048402027,1.9789458048402027,0.0,,,,
Raw,16.0,-11.604592323303223,[ True  True  True],0.0,1.9999999999999998,1.9999999999999998,1.9999999999999998,0.0,1.9999999999999998,1.9999999999999998,1.9999999999999998,0.0,,,,
Raw,16.3,-11.676819801330566,[ True  True  True],0.0,2.01242267876742,2.01242267876742,2.01242267876742,0.0,2.01242267876742,2.01242267876742,2.01242267876742,0.0,,,,
Raw,16.6,-11.738906860351562,[ True  True  True],0.0,2.024693852005457,2.024693852005457,2.024693852005457,0.0,2.024693852005457,2.024693852005457,2.024693852005457,0.0,,,,
Raw,16.900000000000002,-11.791783332824707,[ True  True  True],0.0,2.03681805624826,2.03681805624826,2.03681805624826,0.0,2.03681805624826,2.03681805624826,2.03681805624826,0.0,,,,
Raw,17.200000000000003,-11.836257934570312,[ True  True  True],0.0,2.0487996145182663,2.0487996145182663,2.0487996145182663,0.0,2.0487996145182663,2.0487996145182663,2.0487996145182663,0.0,,,,
Raw,17.500000000000004,-11.873066902160645,[ True  True  True],0.0,2.0606426499042785,2.0606426499042785,2.0606426499042785,0.0,2.0606426499042785,2.0606426499042785,2.0606426499042785,0.0,,,,
