Volume,Energy
10.5,-319.9719318688909
11.0,-319.99711801989935
11.5,-319.99732777800324
12.0,-319.97763155111176
12.5,-319.94204565220537
13.0,-319.8937737936998
13.5,-319.8353874823478
14.0,-319.76896223291106
14.5,-319.69618144380684
15.0,-319.6184163369693
15.5,-319.53678799701333
16.0,-319.4522158943595
16.3,-319.4003799995946
16.6,-319.347898510721
16.900000000000002,-319.29489564816106
17.200000000000003,-319.24148213255546
17.500000000000004,-319.1877566845195
17.800000000000004,-319.13380734287045
18.100000000000005,-319.0797126254572
18.400000000000006,-319.0255425532141
18.700000000000006,-318.97135955510566
19.000000000000007,-318.91721926913533
19.19,-318.88297524578167
19.300000000000008,-318.8631712524789
19.60000000000001,-318.80925961201046
19.90000000000001,-318.7555235649641
20.20000000000001,-318.70199793817187
20.50000000000001,-318.6487136132082
20.80000000000001,-318.5956979238153
21.100000000000012,-318.5429750111666
21.400000000000013,-318.4905661418209
